,InAcc ID, 2020 total amount ,GSC Top3,GSC Top3 pct,GSC Recommendation Top3
2174,297428," 22,286 ","FSQ - GLASS CLOTH TAPES,FTM - POLYESTER FILM TAPES",1,"('FTB - COMPOSITE, ACETATE & PAPER', 6591.501911217582)('FTZ - 1/S10/S20 EPOXY TAPES', 5453.21921580339)('FTU - 92/1205 & OTH HI-TEMP', 5412.63821400536)"
753,217507," 22,268 ","FJF - QSIII & QS-2000 SPLICES,FJM - QTIII RUBBER TERMINATIONS,FJL - QTII,RUBBER, PORCELAIN TERMI",1,"('FJI - SEPARABLE CONNECTORS', 4637.469063133135)('FJC - ENERGY RESINS', 3079.061181457524)('FJZ - MISC PRODUCT - POWER PROD', 3074.3741503977)"
1407,283727," 22,235 ","FTM - POLYESTER FILM TAPES,FSQ - GLASS CLOTH TAPES,FTU - 92/1205 & OTH HI-TEMP",0.958351725,"('FTZ - 1/S10/S20 EPOXY TAPES', 6224.3433799677905)('FSB - COPPER FOIL TAPES', 4186.923487229637)('FTR - OEM REINFORCED FILAMENT TAPE', 3889.9904732653104)"
3410,316732," 22,163 ",GGB - LOCATING PRODUCTS,1,"('GGR - POINT MARKERS - TELECOM', 2174.3923983383875)('FIL - 23 RUBBER TAPE', 281.3530185323132)('FIN - ALL MASTICS', 226.1381251437479)"
1678,289311," 22,134 ","FJM - QTIII RUBBER TERMINATIONS,FIN - ALL MASTICS,FID - GENERAL USE VINYL-BLACK",1,"('FJF - QSIII & QS-2000 SPLICES', 6193.017677265868)('FJL - QTII,RUBBER, PORCELAIN TERMI', 4294.909782219237)('FIC - 33 VINYL TAPE', 3246.5600220713795)"
918,246965," 22,032 ",RWO - WIND PROCESSING AIDS,1,"('RWR - WIND PROTECTION TAPES', 2692.4410317920465)('RWA - SOLAR ACRYLIC FOAM TAPES', 989.2660035634763)('FJB - COLD SHRINK TUBING', 807.732309537614)"
79,70957," 21,956 ","FTM - POLYESTER FILM TAPES,FTZ - 1/S10/S20 EPOXY TAPES,FSB - COPPER FOIL TAPES",1,"('FTB - COMPOSITE, ACETATE & PAPER', 9181.555789290796)('FTU - 92/1205 & OTH HI-TEMP', 6690.022270673115)('FSQ - GLASS CLOTH TAPES', 5163.464954876197)"
3408,316726," 21,943 ",GGQ - POINT MARKERS - GAS,1,()()()
2776,305734," 21,902 ",FJI - SEPARABLE CONNECTORS,1,"('FJF - QSIII & QS-2000 SPLICES', 5233.658646621209)('FJC - ENERGY RESINS', 4799.6391504457415)('FJL - QTII,RUBBER, PORCELAIN TERMI', 4390.7931810267855)"
1121,268107," 21,900 ",FJM - QTIII RUBBER TERMINATIONS,1,"('FJF - QSIII & QS-2000 SPLICES', 10426.877284972741)('FJL - QTII,RUBBER, PORCELAIN TERMI', 6857.636924711377)('FJI - SEPARABLE CONNECTORS', 3130.0686957039816)"
